menu_start_game_0|親 愛 的 冒 險 者 ！ 歡 迎 來 到 《 騎 馬 與 砍 殺 ： 火 與 劍 》 的 世 界 ！ 在 你 開 始 旅 程 之 前 ， 你 必 須 建 立 你 的 人 物 並 選 擇 游 戲 難 度 。 
mno_start_easy|簡 單 
mno_start_normal|中 等 
mno_start_hard|困 難 
mno_go_back_dot|返 回 
menu_start_phase_2|{s10}
mno_get_deal_with|查 明 是 有 什 麼 麻 煩 。 
mno_talk_to_monfore|繼 續 。 
mno_camp_train_archery|開 始 練 習 。 
mno_continue|繼 續 … … 
menu_reports|角 色 聲 望 ： {reg5}^榮 譽 級 別 ： {reg6}^部 隊 士 氣 ： {reg8}^部 隊 上 限 ： {reg7}^
mno_view_character_report|角 色 狀 態 。 
mno_view_party_size_report|隊 伍 規 模 。 
mno_view_morale_report|士 氣 報 告 。 
mno_view_faction_relations_report|陣 營 關 系 。 
mno_view_banking_reports|存 款 貸 款 。 
mno_resume_travelling|繼 續 旅 程 。 
menu_custom_battle_end|戰 斗 結 束 。 {s1}你 的 隊 伍 殺 死 了 {reg5}人 ， 敵 人 的 隊 伍 殺 死 了 {reg6}人 。 你 殺 死 了 {reg7}人 。 
menu_start_game_1|選 擇 你 的 性 別 。 
mno_start_male_2|男 。 
mno_start_female|女 。 
mno_go_back|返 回 … … 
menu_start_character_1|你 是 哪 國 人 ？ 你 的 家 人 是 做 什 麼 的 ？ 
mno_start_noble|我 的 父 母 都 是 上 流 社 會 人 物 。 
mno_start_merchant|一 個 旅 行 商 人 。 
mno_start_guard|一 個 老 兵 。 
mno_start_forester|一 個 獵 人 。 
mno_start_nomad|一 個 游 牧 民 。 
mno_start_thief|一 個 盜 賊 。 
menu_start_character_2|{s10}^^從 你 剛 開 始 走 路 說 話 的 時 候 你 就 開 始 在 這 個 世 界 上 學 習 了 。 你 小 的 時 候 當 過 … … 
mno_page|一 個 貴 族 的 侍 從 。 
mno_apprentice|一 個 手 工 匠 的 學 徒 。 
mno_stockboy|一 個 商 人 的 助 手 。 
mno_urchin|一 個 街 頭 小 流 氓 。 
mno_nomad|一 個 大 草 原 上 的 孩 子 。 
