menu_start_game_0|亲 爱 的 冒 险 者 ！ 欢 迎 来 到 《 骑 马 与 砍 杀 ： 火 与 剑 》 的 世 界 ！ 在 你 开 始 旅 程 之 前 ， 你 必 须 建 立 你 的 人 物 并 选 择 游 戏 难 度 。 
mno_start_easy|简 单 
mno_start_normal|中 等 
mno_start_hard|困 难 
mno_go_back_dot|返 回 
menu_start_phase_2|{s10}
mno_get_deal_with|查 明 是 有 什 么 麻 烦 。 
mno_talk_to_monfore|继 续 。 
mno_camp_train_archery|开 始 练 习 。 
mno_continue|继 续 … … 
menu_reports|角 色 声 望 ： {reg5}^荣 誉 级 别 ： {reg6}^部 队 士 气 ： {reg8}^部 队 上 限 ： {reg7}^
mno_view_character_report|角 色 状 态 。 
mno_view_party_size_report|队 伍 规 模 。 
mno_view_morale_report|士 气 报 告 。 
mno_view_faction_relations_report|阵 营 关 系 。 
mno_view_banking_reports|存 款 贷 款 。 
mno_resume_travelling|继 续 旅 程 。 
menu_custom_battle_end|战 斗 结 束 。 {s1}你 的 队 伍 杀 死 了 {reg5}人 ， 敌 人 的 队 伍 杀 死 了 {reg6}人 。 你 杀 死 了 {reg7}人 。 
menu_start_game_1|选 择 你 的 性 别 。 
mno_start_male_2|男 。 
mno_start_female|女 。 
mno_go_back|返 回 … … 
menu_start_character_1|你 是 哪 国 人 ？ 你 的 家 人 是 做 什 么 的 ？ 
mno_start_noble|我 的 父 母 都 是 上 流 社 会 人 物 。 
mno_start_merchant|一 个 旅 行 商 人 。 
mno_start_guard|一 个 老 兵 。 
mno_start_forester|一 个 猎 人 。 
mno_start_nomad|一 个 游 牧 民 。 
mno_start_thief|一 个 盗 贼 。 
menu_start_character_2|{s10}^^从 你 刚 开 始 走 路 说 话 的 时 候 你 就 开 始 在 这 个 世 界 上 学 习 了 。 你 小 的 时 候 当 过 … … 
mno_page|一 个 贵 族 的 侍 从 。 
mno_apprentice|一 个 手 工 匠 的 学 徒 。 
mno_stockboy|一 个 商 人 的 助 手 。 
mno_urchin|一 个 街 头 小 流 氓 。 
mno_nomad|一 个 大 草 原 上 的 孩 子 。 
menu_start_character_3|{s11}^^世 事 难 料 。 你 长 大 之 后 ， 无 奈 地 成 为 了 … … 
mno_squire|一 个 贵 族 。 
mno_lady|一 个 待 嫁 的 小 姐 。 
mno_troubadour|一 个 吟 游 诗 人 。 
mno_student|一 个 大 学 生 。 
mno_peddler|一 个 小 商 贩 。 
mno_craftsman|一 个 铁 匠 。 
mno_poacher|一 个 偷 猎 者 。 
menu_start_character_4|{s12}^^不 过 在 一 段 时 间 以 后 ， 一 切 都 发 生 了 变 化 ， 你 决 定 孤 身 一 人 去 远 方 冒 险 。 让 你 做 出 这 个 举 动 的 原 因 是 … … 
mno_revenge|私 人 恩 怨 。 
mno_death|失 去 爱 人 的 痛 苦 。 
mno_wanderlust|对 于 探 险 的 热 爱 。 
mno_disown|被 家 里 赶 了 出 来 。 
mno_greed|对 权 力 与 财 富 的 追 求 。 
menu_choose_skill|你 看 到 远 处 有 一 个 时 刻 准 备 战 斗 的 人 。 
mno_begin_adventuring|看 看 发 生 了 什 么 事 。 
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_auto_return|菜 单 自 动 返 回 到 … … 
menu_morale_report|{s1}
menu_faction_orders|{s9}
mno_faction_orders_next_faction|选 择 下 一 个 国 家 。 
mno_faction_orders_defend|下 令 防 守 。 
mno_faction_orders_gather|下 令 集 合 军 队 。 
mno_faction_orders_increase_time|增 加 进 攻 持 续 时 间 24小 时 。 
mno_faction_orders_rethink|重 新 下 令 。 
mno_faction_orders_rethink_all|所 有 国 家 重 新 下 令 。 
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|你 建 立 了 一 个 营 帐 ， 你 想 做 什 么 ？ 
mno_camp_action|行 动 。 
mno_oim_diplomacy_menu|外 交 。 
mno_wagenburg_action_on|用 马 车 建 立 一 个 堡 垒 。 
mno_wagenburg_action_off|毁 掉 马 车 堡 垒 。 
mno_camp_wait_here|在 这 里 等 一 会 儿 。 
mno_camp_cheat|作 弊 菜 单 ！ 
mno_ms_extra_adviser|给 镇 长 助 手 捎 个 信 儿 。 
menu_camp_cheat|选 择 作 弊 项 目 ： 
mno_camp_cheat_1|增 加 声 望 。 
mno_camp_action_4|返 回 营 地 菜 单 。 
menu_camp_action|选 择 你 要 做 的 事 ： 
mno_camp_recruit_prisoners|从 俘 虏 中 募 兵 。 
mno_action_read_book|选 一 本 书 读 。 
mno_action_retire|从 冒 险 中 退 出 。 
menu_camp_recruit_prisoners|你 答 应 这 些 俘 虏 ， 如 果 他 们 加 入 你 的 话 ， 你 就 给 他 们 以 自 由 。 {s18}
mno_camp_recruit_prisoners_accept|接 受 。 
mno_camp_recruit_prisoners_reject|拒 绝 。 
menu_camp_no_prisoners|你 没 有 俘 虏 可 以 招 募 。 
menu_camp_action_read_book|选 一 本 书 读 ： 
mno_action_read_book_1|{s1}。 
mno_action_read_book_2|{s1}。 
mno_action_read_book_3|{s1}。 
mno_action_read_book_4|{s1}。 
mno_action_read_book_5|{s1}。 
mno_action_read_book_6|{s1}。 
mno_action_read_book_7|{s1}。 
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|你 现 在 的 时 间 是 {reg0}天 。 运 气 是 {reg1}。 你 确 实 想 要 从 这 场 冒 险 中 退 出 吗 ？ 
mno_retire_yes|是 的 。 
mno_retire_no|不 。 
menu_end_game|去 意 已 决 ， 你 决 定 放 弃 冒 险 者 的 生 活 ， 并 定 居 下 来 。 你 卖 掉 了 所 有 的 武 器 与 护 甲 ， 收 拾 起 行 囊 ， 策 马 奔 向 夕 阳 的 余 辉 之 中 … … 
mno_end_game_bye|再 会 。 
menu_pay_day|{s1}。 
menu_cattle_herd|你 遇 到 了 一 群 牛 。 
mno_cattle_drive_away|赶 走 他 们 。 
mno_cattle_stop|把 他 们 带 到 一 个 休 息 点 。 
mno_cattle_kill|屠 宰 其 中 的 一 些 。 
mno_leave|离 开 。 
menu_cattle_herd_kill|你 想 屠 宰 几 头 ？ 
mno_cattle_kill_1|一 。 
mno_cattle_kill_2|二 。 
mno_cattle_kill_3|三 。 
mno_cattle_kill_4|四 。 
mno_cattle_kill_5|五 。 
menu_cattle_herd_kill_end|你 不 会 读 到 这 个 的 … … 
menu_arena_duel_fight|你 和 你 的 对 手 准 备 好 决 斗 了 。 
menu_simple_encounter|{s2}你 将 以 {reg10}人 的 部 队 迎 战 对 手 {reg11}人 。 
mno_encounter_attack|突 入 敌 阵 ！ 
mno_encounter_attack_wagenburg_mounted|上 马 战 斗 。 
mno_encounter_attack_wagenburg_unmounted|下 马 战 斗 。 
mno_encounter_order_attack|坐 镇 指 挥 ， 让 你 的 部 队 攻 击 。 
mno_encounter_leave|离 开 。 
mno_encounter_retreat|以 留 下 少 量 部 队 掩 护 为 代 价 撤 退 。 
mno_encounter_surrender|投 降 。 
menu_encounter_retreat_confirm|队 员 中 最 高 战 术 技 能 为 {reg2}级 ， 因 此 {reg3?你 制 定 :{s3}制 定 }了 一 个 计 划 ， 来 让 你 和 你 大 部 分 的 部 队 可 以 活 着 退 出 战 斗 ， 但 是 你 必 须 牺 牲 {reg4}个 战 士 来 进 行 掩 护 。 
mno_leave_behind|实 行 计 划 。 以 牺 牲 掉 那 些 人 的 代 价 拯 救 剩 下 的 部 队 。 
mno_dont_leave_behind|不 ， 我 们 不 会 牺 牲 任 何 一 个 战 友 。 
menu_encounter_retreat|你 命 令 {reg4}名 战 士 负 责 在 大 部 队 撤 退 的 时 候 拖 住 敌 人 前 进 的 步 伐 。 
menu_order_attack_begin|你 的 部 队 已 经 做 好 了 战 斗 准 备 。 
mno_order_attack_begin|下 令 攻 击 。 
mno_call_back|让 他 们 撤 回 来 。 
menu_order_attack_2|{s4}^^我 军 人 员 伤 亡 ： {s8}^^敌 军 人 员 伤 亡 ： {s9}
mno_order_attack_continue|下 令 继 续 攻 击 。 
mno_order_retreat|让 你 的 士 兵 撤 回 来 。 
menu_battle_debrief|{s11}^^我 军 人 员 伤 亡 ： {s8}{s10}^^敌 军 人 员 伤 亡 ： {s9}
menu_total_victory|你 不 该 看 这 个 … … {s9}
menu_enemy_slipped_away|{s17}
menu_total_defeat|你 不 会 读 到 这 个 的 … … 
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|你 遇 到 {s2}正 在 攻 击 {s1}， 你 决 定 … … 
mno_pre_join_help_attackers|对 {s2}施 以 援 手 。 
mno_pre_join_help_defenders|对 {s1}施 以 援 手 。 
mno_pre_join_talk|和 攻 击 者 交 谈 。 
mno_pre_join_leave|不 卷 入 纷 争 。 
menu_join_battle|你 决 定 帮 助 {s2}对 抗 {s1}， 你 将 有 {reg10}名 士 兵 参 加 战 斗 对 抗 {reg11}个 敌 人 。 
mno_join_attack|攻 入 敌 阵 ！ 
mno_join_order_attack|坐 镇 指 挥 ， 让 你 的 部 队 攻 击 。 
mno_join_leave|离 开 。 
menu_join_order_attack|{s4}^^我 军 人 员 伤 亡 ： {s8}^^友 军 人 员 伤 亡 ： {s9}^^敌 军 人 员 伤 亡 ： {s10}
menu_zendar|你 进 入 了 禅 达 。 
mno_zendar_enter|
mno_zendar_enter_door|进 入 城 中 心 。 
mno_zendar_tavern|
mno_zendar_tavern_door|进 入 酒 馆 。 
mno_zendar_merchant|
mno_zendar_merchant_door|进 入 商 店 。 
mno_zendar_arena|
mno_zendar_arena_door|进 入 竞 技 场 。 
mno_town_1_leave|
menu_salt_mine|你 进 入 了 盐 矿 。 
mno_enter|进 入 。 
menu_four_ways_inn|你 来 到 了 四 方 客 栈 。 
menu_test_scene|你 进 入 了 测 试 场 景 。 
menu_battlefields|选 择 一 个 场 地 。 
mno_enter_f1|场 地 1 
mno_enter_f2|场 地 2 
mno_enter_f3|场 地 3 
mno_enter_f4|场 地 4 
mno_enter_f5|场 地 5 
menu_dhorak_keep|你 进 入 了 多 拉 克 要 塞 。 
menu_join_siege_outside|{s1}正 被 {s2}围 攻 。 
mno_approach_besiegers|进 入 围 城 营 地 。 
mno_pass_through_siege|穿 过 围 城 进 入 {s1}。 
menu_cut_siege_without_fight|围 城 方 放 你 进 入 了 城 堡 。 
menu_besiegers_camp_with_allies|{s1}依 然 被 围 困 中 ， 你 和 你 的 部 队 在 上 空 飞 扬 着 {s2}的 旗 帜 的 围 城 营 地 那 里 被 热 烈 的 欢 迎 了 。 
mno_talk_to_siege_commander|要 求 和 指 挥 官 会 面 。 
mno_join_siege_with_allies|加 入 下 一 轮 的 攻 城 。 
mno_join_siege_stay_back|坐 镇 指 挥 ， 让 你 的 部 队 协 助 下 一 轮 的 攻 城 。 
menu_castle_outside|你 在 {s2}的 外 面 。 {s11}{s3}{s4}
mno_approach_gates|走 近 城 门 ， 叫 守 卫 出 来 。 
mno_town_sneak|伪 装 ， 偷 偷 溜 进 城 去 。 
mno_castle_start_siege|围 攻 {reg6?城 镇 :城 堡 }。 
mno_talk_to_pafnutiy_menu|与 帕 夫 努 季 交 谈 。 
mno_talk_to_borzobogataya|与 阿 努 希 娅 交 谈 。 
mno_talk_to_borzobogataya_door|与 阿 努 希 娅 交 谈 。 
mno_talk_to_ransom_broker|与 奴 隶 贩 子 交 谈 。 
mno_talk_to_pafnutiy_dlg|与 帕 夫 努 季 交 谈 。 
mno_talk_to_pafnutiy_dlg_door|与 帕 夫 努 季 交 谈 。 
mno_castle_leave|离 开 。 
menu_castle_guard|你 走 近 了 城 门 。 城 墙 上 的 守 卫 正 紧 盯 着 你 。 
mno_request_shelter|要 求 进 入 城 堡 。 
mno_request_meeting_commander|要 求 和 城 堡 中 的 某 人 会 面 。 
mno_guard_leave|离 开 。 
menu_castle_entry_granted|简 短 的 等 待 之 后 ， 守 卫 打 开 了 城 门 ， 允 许 你 和 你 的 部 队 进 入 城 中 。 
menu_castle_entry_denied|城 堡 中 的 指 挥 官 拒 绝 了 你 的 请 求 ， 禁 止 你 走 近 城 池 一 步 ， 否 则 守 军 就 会 向 你 发 起 攻 击 。 
menu_castle_meeting|你 想 见 谁 ？ 
mno_guard_meet_s5|{s5}。 
mno_forget_it|算 了 吧 。 
menu_castle_meeting_selected|你 的 申 请 被 传 递 上 去 了 ， 最 终 {s6}出 现 在 你 面 前 与 你 进 行 交 涉 。 
menu_castle_besiege|你 已 经 在 围 攻 {s1}。 {s2}{s3}
mno_build_ladders|准 备 架 云 梯 攻 击 城 墙 。 
mno_siege_request_meeting|要 求 和 城 堡 的 指 挥 官 会 面 。 
mno_town_diversiya|切 断 城 市 的 供 水 。 
mno_town_vorvatsya|尝 试 暴 力 进 攻 城 市 。 
mno_build_podkop|用 炸 药 破 坏 城 墙 。 
mno_castle_lead_attack|带 领 部 队 进 攻 。 
mno_castle_lead_attack_podkop|动 手 进 攻 。 
mno_attack_stay_back|坐 镇 指 挥 ， 让 你 的 部 队 攻 击 。 
mno_build_siege_tower|建 造 攻 城 塔 。 
mno_wait_24_hours|等 到 明 日 。 
mno_lift_siege|放 弃 围 城 。 
menu_siege_attack_meets_sally|守 城 方 派 了 部 队 反 击 。 
menu_castle_besiege_inner_battle|{s1}
menu_construct_ladders|你 估 计 要 花 {reg4}小 时 来 建 造 云 梯 以 进 攻 。 
mno_build_ladders_cont|开 始 。 
mno_go_back_assault|考 虑 其 他 进 攻 方 式 。 
menu_construct_siege_tower|队 员 中 最 高 工 程 技 能 为 {reg2}级 ， 由 此 {reg3?你 预 期 :{s3}预 期 }需 要 {reg4}小 时 来 建 立 攻 城 塔 。 
mno_build_siege_tower_cont|开 始 建 造 。 
menu_castle_attack_walls_simulate|{s4}^^我 军 伤 亡 ： {s8}^^敌 军 伤 亡 ： {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^我 军 伤 亡 ： {s8}^^盟 军 伤 亡 ： {s9}^^敌 军 伤 亡 ： {s10}
menu_castle_taken_by_friends|这 里 已 经 没 什 么 好 看 的 了 。 
menu_castle_taken|{s3}已 经 被 你 攻 陷 了 。 你 已 经 完 全 控 制 了 这 个 {reg2?城 镇 :城 堡 }。 {reg1?看 起 来 没 有 什 么 能 阻 止 你 将 它 据 为 己 有 了 :}
menu_castle_taken_2|{s3}已 经 被 你 攻 陷 了 。 你 已 经 完 全 控 制 了 这 个 地 方 。 你 的 部 队 欢 呼 着 庆 祝 胜 利 。 
mno_castle_taken_claim|要 求 把 {s3}封 给 你 。 
mno_castle_taken_no_claim|什 么 也 不 要 。 
mno_castle_taken_oim|将 {s3}据 为 己 有 。 
menu_requested_castle_granted_to_player|你 从 你 的 国 王 {s3}那 里 得 到 通 知 。 ^^{reg4?她 :他 }决 定 将 {s2}{reg3?和 附 近 的 {s4}村 :}封 给 你 ， 附 带 那 里 所 有 的 收 入 和 权 益 ， 条 件 是 在 这 期 间 你 要 保 持 宣 誓 效 忠 于 {reg4?她 :他 }的 名 下 。 
menu_requested_castle_granted_to_another|你 从 你 的 国 王 {s3}那 里 得 到 通 知 。 ^^我 听 说 你 很 英 勇 地 战 斗 并 把 {s2}给 攻 下 来 了 。 你 的 胜 利 极 大 的 鼓 舞 了 我 们 。 你 说 过 你 想 要 我 把 这 个 地 方 封 给 你 ， 但 恐 怕 我 并 不 能 同 意 你 的 要 求 ， 因 为 在 我 统 治 的 范 围 内 ， 你 已 经 有 了 封 地 。 所 以 我 送 你 {reg6}泰 勒 作 为 你 的 军 费 开 支 ， 而 {s2}， 我 把 它 封 给 {s5}了 。 
mno_accept_decision|接 受 这 个 决 定 。 
mno_leave_faction|你 受 到 了 不 公 正 的 对 待 ！ 你 决 定 放 弃 你 对 你 的 君 主 所 发 的 誓 言 ！ 
menu_leave_faction|放 弃 你 的 誓 言 是 一 件 很 严 重 的 事 件 。 你 的 君 主 将 宣 判 你 有 罪 ， 并 没 收 你 的 土 地 与 城 堡 。 如 果 你 自 愿 交 出 你 的 土 地 与 城 堡 ， 他 也 许 会 饶 恕 你 ， 让 你 走 。 
mno_leave_faction_give_back|放 弃 誓 言 并 放 弃 领 地 。 
mno_leave_faction_hold|放 弃 誓 言 但 是 保 留 领 地 ， 包 括 {s2}。 
mno_leave_faction_cancel|仍 然 效 忠 并 接 受 国 王 的 决 定 。 
menu_give_center_to_player|获 赐 新 封 地 ！ {s1}将 {s2}赏 赐 给 你 。 你 的 选 择 是 ？ 
mno_give_center_to_player_accept|接 受 赏 赐 。 
mno_give_center_to_player_reject|拒 绝 。 你 对 {s2}不 感 兴 趣 。 
menu_give_center_to_player_2|短 暂 的 仪 式 之 后 ， 你 已 受 封 新 封 地 。 你 现 在 是 {s2}{reg3? 和 从 属 的 {s4}村 :}的 领 主 。 你 可 以 在 这 里 横 征 暴 敛 ， 拉 壮 丁 ， 但 是 ， 你 有 责 任 捍 卫 你 封 地 的 人 民 免 受 伤 害 ， 以 及 维 持 法 治 和 秩 序 。 
menu_oath_fulfilled|你 已 经 发 誓 为 {s1}服 务 一 段 时 间 。 你 的 誓 言 已 经 完 结 了 。 你 将 准 备 怎 么 办 ？ 
mno_renew_oath|继 续 向 {s1}发 誓 ， 再 服 务 一 个 月 。 
mno_dont_renew_oath|恢 复 自 由 身 。 
menu_siege_started_defender|{s1}正 在 攻 击 {s2}的 城 墙 。 你 有 {reg10}人 可 以 参 战 对 抗 敌 人 的 {reg11}人 。 你 决 定 … … 
mno_siege_defender_join_battle|参 加 战 斗 。 
mno_siege_defender_troops_join_battle|坐 镇 指 挥 ， 让 你 的 部 队 攻 击 。 
menu_siege_join_defense|{s4}^^我 军 伤 亡 ： {s8}^^盟 军 伤 亡 ： {s9}^^敌 军 伤 亡 ： {s10}
menu_enter_your_own_castle|城 堡 的 守 卫 发 现 了 你 的 到 来 ， 他 们 打 开 大 门 欢 迎 他 们 的 {领 主 /夫 人 }。 
menu_village|{s10}{s11}{s6}{s7}{s20}{s21}
mno_village_manage|管 理 这 个 村 庄 。 
mno_village_ms|与 长 老 交 谈 。 
mno_additional_menu_ms|前 往 村 中 心 。 
mno_recruit_volunteers|征 募 志 愿 兵 。 
mno_village_center|前 往 村 中 心 。 
mno_village_center_door|村 庄 中 心 的 大 门 
mno_village_buy_food|向 村 民 购 买 给 养 。 
mno_village_attack_bandits|攻 打 强 盗 。 
mno_village_wait|在 这 里 待 一 会 儿 。 
mno_collect_taxes_qst|为 {s1}{reg5?继 续 收 税 :收 税 }。 
mno_train_peasants_against_bandits_qst|训 练 这 些 农 民 。 
mno_village_hostile_action|做 一 些 敌 对 的 事 。 
mno_oim_potop_sneak_into_village|去 牛 棚 。 
mno_village_center_nesvz|去 坟 场 。 
mno_village_center_nesvz_door|去 坟 场 。 
mno_talk_to_yavangelik|与 福 音 派 教 徒 交 谈 。 
mno_talk_to_yavangelik_door|与 福 音 派 教 徒 交 谈 。 
mno_village_leave|离 开 。 
menu_village_hostile_action|动 手 ！ 
mno_village_take_food|强 迫 农 民 向 你 提 供 给 养 。 
mno_village_steal_cattle|偷 牛 。 
mno_village_loot|抢 劫 这 个 村 子 ， 然 后 把 它 夷 为 平 地 ！ 
menu_recruit_volunteers|{s18}
mno_recruit_them|花 {reg6}泰 勒 招 募 他 们 。 
menu_village_hunt_down_fugitive_defeated|这 个 世 界 在 你 眼 前 一 暗 。 当 你 再 次 睁 开 眼 睛 的 时 候 ， 你 意 识 到 自 己 浸 泡 在 自 己 的 鲜 血 里 ， 但 幸 运 的 是 ， 你 没 有 一 处 创 伤 是 致 命 的 。 
menu_village_infest_bandits_result|{s9}
menu_village_infestation_removed|经 过 足 以 令 人 传 诵 的 英 勇 的 战 斗 ， 你 和 你 的 同 伴 打 败 了 强 盗 。 这 个 村 子 再 次 安 全 了 。 经 过 他 们 的 抢 劫 以 后 ， 村 民 几 乎 没 有 什 么 东 西 剩 余 了 ， 但 他 们 还 是 拿 出 了 任 何 他 们 有 的 东 西 。 
mno_village_bandits_defeated_accept|我 接 受 你 们 的 赠 品 。 
mno_village_bandits_defeated_cont|你 们 比 我 更 需 要 这 些 东 西 。 你 们 的 感 谢 已 经 足 够 了 。 
menu_center_manage|{s19}^{reg6?^^你 正 在 建 造 {s7}。 工 程 会 在 {reg8}天 后 完 工 。 :}
mno_center_build_manor|建 造 一 个 庄 园 。 
mno_center_build_fish_pond|建 造 一 个 磨 坊 。 
mno_center_build_watch_tower|建 造 一 个 哨 塔 。 
mno_center_build_school|建 造 一 个 学 校 。 
mno_center_build_messenger_post|建 造 一 个 驿 站 。 
mno_center_build_prisoner_tower|建 造 一 个 监 狱 。 
menu_center_improve|{s19}队 员 中 最 高 工 程 技 能 为 {reg2}级 ， 由 此 {reg3?你 预 期 :{s3}预 期 }建 造 {s4}要 花 费 {reg5}泰 勒 ， 升 级 需 要 {reg6}日 。 
mno_improve_cont|开 始 建 造 。 
mno_improve_not_enough_gold|太 贵 了 吧 … … 
menu_town_bandits_failed|{s4}{s5}
menu_town_bandits_succeeded|你 如 同 割 麦 子 一 般 干 掉 了 强 盗 ！ 你 再 次 孤 身 一 人 站 在 街 头 ， 在 你 的 周 围 散 布 着 强 盗 们 的 尸 体 ， 看 到 这 一 幕 ， 他 们 的 残 党 惊 慌 地 四 散 而 去 ， 消 失 在 街 道 深 处 。 搜 寻 尸 体 后 你 发 现 了 一 袋 钱 ， 或 者 它 属 于 前 一 个 无 辜 的 牺 牲 者 ， 或 者 是 有 人 想 要 买 你 的 命 。 
menu_village_steal_cattle_confirm|队 员 中 最 高 掠 夺 技 能 为 {reg2}级 ， 由 此 {reg3?你 预 期 :{s1}预 期 }你 最 多 可 以 偷 到 {reg4}头 牛 。 
mno_village_steal_cattle_confirm|偷 牛 。 
menu_village_steal_cattle|偷 牛 。 
menu_village_take_food_confirm|强 迫 农 民 们 准 备 好 补 给 品 需 要 花 费 至 少 一 个 小 时 。 
mno_village_take_food_confirm|继 续 。 
menu_village_take_food|从 村 民 处 盗 窃 。 
mno_take_supplies|拿 走 给 养 。 
mno_let_them_keep_it|让 他 们 好 好 收 着 吧 。 
menu_village_start_attack|一 些 愤 怒 的 村 民 拿 起 农 具 准 备 抵 抗 你 的 掠 夺 。 看 起 来 你 要 赤 手 空 拳 打 一 仗 了 。 
mno_village_raid_attack|开 打 吧 。 
mno_village_raid_leave|离 开 这 个 村 。 
menu_village_loot_no_resist|村 民 们 在 你 的 军 队 前 望 风 而 逃 ， 村 庄 由 你 控 制 了 。 
